"STATISTIC","Statistic Label","TLIST(M1)","Month","C01835V02260","Licensing Authority","C01841V02268","Type of Fuel","UNIT","VALUE"
"TEM27C01","New Private Cars","202101","2021 January","12","Longford","-","All fuel types","Number","127"
"TEM27C01","New Private Cars","202101","2021 January","12","Longford","1","Petrol","Number","31"
"TEM27C01","New Private Cars","202101","2021 January","12","Longford","2","Diesel","Number","51"
"TEM27C01","New Private Cars","202101","2021 January","12","Longford","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202101","2021 January","12","Longford","4","Petrol and electric hybrid","Number","36"
"TEM27C01","New Private Cars","202101","2021 January","12","Longford","6","Electric","Number","2"
"TEM27C01","New Private Cars","202101","2021 January","12","Longford","7","Petrol or Diesel plug-in hybrid electric","Number","3"
"TEM27C01","New Private Cars","202101","2021 January","12","Longford","9","Diesel and electric hybrid","Number","4"
"TEM27C01","New Private Cars","202101","2021 January","13","Louth","-","All fuel types","Number","468"
"TEM27C01","New Private Cars","202101","2021 January","13","Louth","1","Petrol","Number","171"
"TEM27C01","New Private Cars","202101","2021 January","13","Louth","2","Diesel","Number","148"
"TEM27C01","New Private Cars","202101","2021 January","13","Louth","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202101","2021 January","13","Louth","4","Petrol and electric hybrid","Number","94"
"TEM27C01","New Private Cars","202101","2021 January","13","Louth","6","Electric","Number","24"
"TEM27C01","New Private Cars","202101","2021 January","13","Louth","7","Petrol or Diesel plug-in hybrid electric","Number","19"
"TEM27C01","New Private Cars","202101","2021 January","13","Louth","9","Diesel and electric hybrid","Number","12"
"TEM27C01","New Private Cars","202101","2021 January","14","Mayo","-","All fuel types","Number","316"
"TEM27C01","New Private Cars","202101","2021 January","14","Mayo","1","Petrol","Number","76"
"TEM27C01","New Private Cars","202101","2021 January","14","Mayo","2","Diesel","Number","147"
"TEM27C01","New Private Cars","202101","2021 January","14","Mayo","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202101","2021 January","14","Mayo","4","Petrol and electric hybrid","Number","66"
"TEM27C01","New Private Cars","202101","2021 January","14","Mayo","6","Electric","Number","10"
"TEM27C01","New Private Cars","202101","2021 January","14","Mayo","7","Petrol or Diesel plug-in hybrid electric","Number","11"
"TEM27C01","New Private Cars","202101","2021 January","14","Mayo","9","Diesel and electric hybrid","Number","6"
"TEM27C01","New Private Cars","202101","2021 January","15","Meath","-","All fuel types","Number","741"
"TEM27C01","New Private Cars","202101","2021 January","15","Meath","1","Petrol","Number","244"
"TEM27C01","New Private Cars","202101","2021 January","15","Meath","2","Diesel","Number","275"
"TEM27C01","New Private Cars","202101","2021 January","15","Meath","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202101","2021 January","15","Meath","4","Petrol and electric hybrid","Number","152"
"TEM27C01","New Private Cars","202101","2021 January","15","Meath","6","Electric","Number","23"
"TEM27C01","New Private Cars","202101","2021 January","15","Meath","7","Petrol or Diesel plug-in hybrid electric","Number","22"
"TEM27C01","New Private Cars","202101","2021 January","15","Meath","9","Diesel and electric hybrid","Number","25"
"TEM27C01","New Private Cars","202101","2021 January","16","Monaghan","-","All fuel types","Number","160"
"TEM27C01","New Private Cars","202101","2021 January","16","Monaghan","1","Petrol","Number","44"
"TEM27C01","New Private Cars","202101","2021 January","16","Monaghan","2","Diesel","Number","93"
"TEM27C01","New Private Cars","202101","2021 January","16","Monaghan","3","Other fuel types","Number",""
